player,team,PA,AB,entropy
Carlos Correa,Houston Astros,585,538,2.2294495414135866
Nico Hoerner,Chicago Cubs,657,607,2.228955556062755
Brenton Doyle,Colorado Rockies,538,502,2.2273201141391845
Ian Happ,Chicago Cubs,671,577,2.226670141679427
Tyler Soderstrom,Athletics,624,561,2.22553348153393
Teoscar Hernández,Los Angeles Dodgers,554,518,2.22537340647831
Marcell Ozuna,Atlanta Braves,592,487,2.225318765726049
Jung Hoo Lee,San Francisco Giants,617,560,2.2244625138580623
Christian Walker,Houston Astros,640,585,2.223702088166132
Jacob Wilson,Athletics,523,486,2.223013658943643
Adolis García,Texas Rangers,547,507,2.2223867867348845
Elly De La Cruz,Cincinnati Reds,710,640,2.22160778960418
Gleyber Torres,Detroit Tigers,637,540,2.2188294799262107
Steven Kwan,Cleveland Guardians,697,629,2.217732951741659
Alec Bohm,Philadelphia Phillies,512,470,2.2170919257345245
Rafael Devers,San Francisco Giants,729,607,2.2137312894763532
Paul Goldschmidt,New York Yankees,536,491,2.2126678235454182
Matt Olson,Atlanta Braves,728,629,2.209649140448661
Lars Nootbaar,St. Louis Cardinals,583,509,2.2043740540356027
Trent Grisham,New York Yankees,590,502,2.2040234919161272
Brooks Lee,Minnesota Twins,532,493,2.2027161443474763
Kyle Schwarber,Philadelphia Phillies,732,611,2.196273193446155
Matt McLain,Cincinnati Reds,590,521,2.194508421445051
J.P. Crawford,Seattle Mariners,661,577,2.191569877934612
Michael Busch,Chicago Cubs,598,530,2.1913625717344343
Brandon Lowe,Tampa Bay Rays,553,507,2.1881905197645524
Trevor Story,Boston Red Sox,658,616,2.1829265475407826
Luis Rengifo,Los Angeles Angels,541,501,2.1813995798612096
Brice Turang,Milwaukee Brewers,668,594,2.178238259418163
Nathaniel Lowe,Boston Red Sox,609,540,2.176651502041363
Mike Trout,Los Angeles Angels,556,457,2.175248144193395
Luis Arraez,San Diego Padres,675,620,2.164830635697521
Bryan Reynolds,Pittsburgh Pirates,654,587,2.1632687962093824
Josh Jung,Texas Rangers,511,482,2.1613508408586393
Oneil Cruz,Pittsburgh Pirates,545,472,2.155990485162091
Christian Yelich,Milwaukee Brewers,653,582,2.14685951529337
Riley Greene,Detroit Tigers,664,609,2.145644169304477
Jordan Beck,Colorado Rockies,588,539,2.1434475102857835
Jackson Holliday,Baltimore Orioles,649,586,2.1355400173285406
Ryan McMahon,New York Yankees,593,516,2.117941400884782
Lawrence Butler,Athletics,630,569,2.098820664345864
Gavin Lux,Cincinnati Reds,510,452,2.0801488730650255
James Wood,Washington Nationals,689,598,2.0601795962330645
